Anzahl_der_Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Feiertag,Niederschlag,Sonnenscheindauer,Lufttemperatur
100,0.4338837391175582,-0.900968867902419,0,1,0.0,0.5070422535211268,0.14066496163682868
50,-0.433883739117558,-0.9009688679024191,0,0,0.026068821689259645,0.2112676056338028,0.20716112531969313
53,-0.9749279121818236,-0.2225209339563146,1,0,0.20333680917622524,0.1056338028169014,0.350383631713555
151,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.05633802816901409,0.43734015345268545
99,0.0,1.0,0,0,0.0,0.5070422535211268,0.31457800511508954
185,0.7818314824680298,0.6234898018587336,0,1,0.0,0.5211267605633804,0.27109974424552435
48,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.11971830985915494,0.25063938618925835
40,0.4338837391175582,-0.900968867902419,0,0,0.001042752867570386,0.04929577464788732,0.3120204603580563
38,-0.433883739117558,-0.9009688679024191,0,0,0.014598540145985404,0.0,0.43734015345268545
199,-0.9749279121818236,-0.2225209339563146,1,0,0.03441084462982274,0.4647887323943662,0.5473145780051152
62,-0.7818314824680299,0.6234898018587334,1,0,0.10740354535974975,0.08450704225352113,0.46803069053708446
50,0.0,1.0,0,0,0.0,0.13380281690140844,0.35294117647058826
84,0.7818314824680298,0.6234898018587336,0,0,0.0,0.5492957746478874,0.38874680306905374
37,0.9749279121818236,-0.2225209339563143,0,0,0.0448383733055266,0.02112676056338028,0.421994884910486
73,0.4338837391175582,-0.900968867902419,0,0,0.0,0.36619718309859156,0.4501278772378517
54,-0.433883739117558,-0.9009688679024191,0,0,0.09071949947862357,0.07042253521126761,0.4808184143222507
52,-0.9749279121818236,-0.2225209339563146,1,0,0.12200208550573514,0.0,0.37851662404092073
132,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.147887323943662,0.29411764705882354
45,0.0,1.0,0,0,0.0,0.3732394366197183,0.29667519181585683
55,0.7818314824680298,0.6234898018587336,0,0,0.0,0.22535211267605637,0.29667519181585683
58,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.28169014084507044,0.24040920716112535
50,0.4338837391175582,-0.900968867902419,0,0,0.0,0.0,0.24552429667519185
45,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.0,0.28900255754475707
79,-0.9749279121818236,-0.2225209339563146,1,0,0.01042752867570386,0.0,0.30434782608695654
130,-0.7818314824680299,0.6234898018587334,1,0,0.009384775808133475,0.0,0.27877237851662406
35,0.0,1.0,0,0,0.10531803962460898,0.323943661971831,0.26854219948849106
25,0.7818314824680298,0.6234898018587336,0,0,0.014598540145985404,0.0,0.30434782608695654
42,0.9749279121818236,-0.2225209339563143,0,0,0.08446298227320126,0.3380281690140845,0.30690537084398983
34,0.4338837391175582,-0.900968867902419,0,0,0.05005213764337853,0.0,0.29923273657289007
32,-0.433883739117558,-0.9009688679024191,0,0,0.051094890510948905,0.0,0.3273657289002558
89,-0.9749279121818236,-0.2225209339563146,1,0,0.009384775808133475,0.33098591549295775,0.28644501278772383
104,-0.7818314824680299,0.6234898018587334,1,0,0.07716371220020855,0.06338028169014084,0.2583120204603581
38,0.0,1.0,0,0,0.04171011470281544,0.014084507042253523,0.27109974424552435
39,0.7818314824680298,0.6234898018587336,0,0,0.0,0.5140845070422535,0.15856777493606145
44,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.08450704225352113,0.20716112531969313
31,0.4338837391175582,-0.900968867902419,0,0,0.0,0.0,0.20716112531969313
39,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.0,0.17135549872122766
79,-0.9749279121818236,-0.2225209339563146,1,0,0.0,0.0,0.19437340153452687
50,-0.7818314824680299,0.6234898018587334,1,0,0.02502606882168926,0.0,0.1994884910485934
27,0.0,1.0,0,0,0.0,0.0,0.1790281329923274
85,0.7818314824680298,0.6234898018587336,0,0,0.0,0.619718309859155,0.20716112531969313
41,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.18309859154929578,0.1790281329923274
49,0.4338837391175582,-0.900968867902419,0,0,0.0,0.0,0.14322250639386191
61,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.35211267605633806,0.17391304347826092
124,-0.9749279121818236,-0.2225209339563146,1,0,0.0,0.16901408450704225,0.21483375959079287
115,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.0,0.21483375959079287
59,0.0,1.0,0,0,0.0,0.3380281690140845,0.24808184143222511
51,0.7818314824680298,0.6234898018587336,0,0,0.0,0.0,0.23017902813299235
51,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.0,0.28644501278772383
100,0.4338837391175582,-0.900968867902419,0,0,0.0,0.6408450704225352,0.2583120204603581
109,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.647887323943662,0.340153452685422
132,-0.9749279121818236,-0.2225209339563146,1,0,0.05005213764337853,0.007042253521126762,0.37851662404092073
199,-0.7818314824680299,0.6234898018587334,1,0,0.001042752867570386,0.147887323943662,0.31969309462915607
38,0.0,1.0,0,0,0.04171011470281544,0.13380281690140844,0.29667519181585683
43,0.7818314824680298,0.6234898018587336,0,0,0.001042752867570386,0.0,0.35294117647058826
63,0.9749279121818236,-0.2225209339563143,0,0,0.002085505735140772,0.11267605633802819,0.34271099744245526
105,0.4338837391175582,-0.900968867902419,0,0,0.0,0.6690140845070423,0.34271099744245526
35,-0.433883739117558,-0.9009688679024191,0,0,0.08237747653806049,0.0,0.3017902813299233
145,-0.9749279121818236,-0.2225209339563146,1,0,0.0,0.19014084507042256,0.370843989769821
184,-0.7818314824680299,0.6234898018587334,1,0,0.08237747653806049,0.04929577464788732,0.411764705882353
22,0.0,1.0,0,0,0.17831074035453598,0.0,0.42710997442455245
73,0.7818314824680298,0.6234898018587336,0,0,0.02815432742440042,0.5985915492957746,0.4245524296675192
48,0.9749279121818236,-0.2225209339563143,0,0,0.01981230448383733,0.1056338028169014,0.3657289002557545
31,0.4338837391175582,-0.900968867902419,0,0,0.014598540145985404,0.014084507042253523,0.30946291560102307
108,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.7042253521126761,0.34271099744245526
266,-0.9749279121818236,-0.2225209339563146,1,0,0.0,0.7042253521126761,0.36317135549872126
668,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.7112676056338029,0.40409207161125327
102,0.0,1.0,0,0,0.0,0.676056338028169,0.45268542199488493
103,0.7818314824680298,0.6234898018587336,0,0,0.001042752867570386,0.5563380281690141,0.46547314578005117
43,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.2323943661971831,0.46547314578005117
99,0.4338837391175582,-0.900968867902419,0,0,0.0,0.7323943661971831,0.3580562659846548
123,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.7394366197183099,0.33503836317135555
247,-0.9749279121818236,-0.2225209339563146,1,0,0.0,0.6901408450704226,0.32480818414322254
557,-0.7818314824680299,0.6234898018587334,1,0,0.0,0.7323943661971831,0.370843989769821
85,0.0,1.0,0,0,0.0,0.2676056338028169,0.5012787723785167
81,0.7818314824680298,0.6234898018587336,0,0,0.0,0.1267605633802817,0.554987212276215
134,0.9749279121818236,-0.2225209339563143,0,0,0.0,0.7323943661971831,0.5217391304347827
252,0.4338837391175582,-0.900968867902419,0,1,0.0,0.7042253521126761,0.5038363171355499
150,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.7605633802816902,0.4603580562659847
89,-0.9749279121818236,-0.2225209339563146,1,0,0.13555787278415019,0.0,0.4578005115089514
