Datum,Anzahl der Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Niederschlag,Sonnenscheindauer,Lufttemperatur
2015-01-01,100,0.4338837391175582,-0.900968867902419,0,0.0,0.5070422535211268,0.14066496163682868
2015-01-02,50,-0.433883739117558,-0.9009688679024191,0,0.026068821689259645,0.2112676056338028,0.20716112531969313
2015-01-03,53,-0.9749279121818236,-0.2225209339563146,1,0.20333680917622524,0.1056338028169014,0.350383631713555
2015-01-04,151,-0.7818314824680299,0.6234898018587334,1,0.0,0.05633802816901409,0.43734015345268545
2015-01-05,99,0.0,1.0,0,0.0,0.5070422535211268,0.31457800511508954
2015-01-06,185,0.7818314824680298,0.6234898018587336,0,0.0,0.5211267605633804,0.27109974424552435
2015-01-07,48,0.9749279121818236,-0.2225209339563143,0,0.0,0.11971830985915494,0.25063938618925835
2015-01-08,40,0.4338837391175582,-0.900968867902419,0,0.001042752867570386,0.04929577464788732,0.3120204603580563
2015-01-09,38,-0.433883739117558,-0.9009688679024191,0,0.014598540145985404,0.0,0.43734015345268545
2015-01-10,199,-0.9749279121818236,-0.2225209339563146,1,0.03441084462982274,0.4647887323943662,0.5473145780051152
2015-01-11,62,-0.7818314824680299,0.6234898018587334,1,0.10740354535974975,0.08450704225352113,0.46803069053708446
2015-01-12,50,0.0,1.0,0,0.0,0.13380281690140844,0.35294117647058826
2015-01-13,84,0.7818314824680298,0.6234898018587336,0,0.0,0.5492957746478874,0.38874680306905374
2015-01-14,37,0.9749279121818236,-0.2225209339563143,0,0.0448383733055266,0.02112676056338028,0.421994884910486
2015-01-15,73,0.4338837391175582,-0.900968867902419,0,0.0,0.36619718309859156,0.4501278772378517
2015-01-16,54,-0.433883739117558,-0.9009688679024191,0,0.09071949947862357,0.07042253521126761,0.4808184143222507
2015-01-17,52,-0.9749279121818236,-0.2225209339563146,1,0.12200208550573514,0.0,0.37851662404092073
2015-01-18,132,-0.7818314824680299,0.6234898018587334,1,0.0,0.147887323943662,0.29411764705882354
2015-01-19,45,0.0,1.0,0,0.0,0.3732394366197183,0.29667519181585683
2015-01-20,55,0.7818314824680298,0.6234898018587336,0,0.0,0.22535211267605637,0.29667519181585683
2015-01-21,58,0.9749279121818236,-0.2225209339563143,0,0.0,0.28169014084507044,0.24040920716112535
2015-01-22,50,0.4338837391175582,-0.900968867902419,0,0.0,0.0,0.24552429667519185
2015-01-23,45,-0.433883739117558,-0.9009688679024191,0,0.0,0.0,0.28900255754475707
2015-01-24,79,-0.9749279121818236,-0.2225209339563146,1,0.01042752867570386,0.0,0.30434782608695654
2015-01-25,130,-0.7818314824680299,0.6234898018587334,1,0.009384775808133475,0.0,0.27877237851662406
2015-01-26,35,0.0,1.0,0,0.10531803962460898,0.323943661971831,0.26854219948849106
2015-01-27,25,0.7818314824680298,0.6234898018587336,0,0.014598540145985404,0.0,0.30434782608695654
2015-01-28,42,0.9749279121818236,-0.2225209339563143,0,0.08446298227320126,0.3380281690140845,0.30690537084398983
2015-01-29,34,0.4338837391175582,-0.900968867902419,0,0.05005213764337853,0.0,0.29923273657289007
2015-01-30,32,-0.433883739117558,-0.9009688679024191,0,0.051094890510948905,0.0,0.3273657289002558
2015-01-31,89,-0.9749279121818236,-0.2225209339563146,1,0.009384775808133475,0.33098591549295775,0.28644501278772383
2015-02-01,104,-0.7818314824680299,0.6234898018587334,1,0.07716371220020855,0.06338028169014084,0.2583120204603581
2015-02-02,38,0.0,1.0,0,0.04171011470281544,0.014084507042253523,0.27109974424552435
2015-02-03,39,0.7818314824680298,0.6234898018587336,0,0.0,0.5140845070422535,0.15856777493606145
2015-02-04,44,0.9749279121818236,-0.2225209339563143,0,0.0,0.08450704225352113,0.20716112531969313
2015-02-05,31,0.4338837391175582,-0.900968867902419,0,0.0,0.0,0.20716112531969313
2015-02-06,39,-0.433883739117558,-0.9009688679024191,0,0.0,0.0,0.17135549872122766
2015-02-07,79,-0.9749279121818236,-0.2225209339563146,1,0.0,0.0,0.19437340153452687
2015-02-08,50,-0.7818314824680299,0.6234898018587334,1,0.02502606882168926,0.0,0.1994884910485934
2015-02-09,27,0.0,1.0,0,0.0,0.0,0.1790281329923274
2015-02-10,85,0.7818314824680298,0.6234898018587336,0,0.0,0.619718309859155,0.20716112531969313
2015-02-11,41,0.9749279121818236,-0.2225209339563143,0,0.0,0.18309859154929578,0.1790281329923274
